Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Bermuda,installed capacity ,0.118,0.118,0.118,0.137,0.149,0.149,0.123,0.12,0.133,0.17,0.14,0.14,0.14,0.14,0.14,0.146,0.146,0.146,0.168,0.168,0.168,0.168,0.175,0.175,0.175,0.175,0.175,0.165,0.165,0.165,0.165,0.165,0.171,0.171,0.1708,0.1708,0.1708,0.1708,0.1715,0.1715,0.1715,0.1715
        Canada,installed capacity ,79.186,81.597,84.17,86.911,93.245,94.026,96.695,98.889,96.049,97.163,103.652,104.852,108.265,107.838,112.081,112.916,114.343,110.484,108.035,109.007,112.052,113.614,116.152,121.025,121.748,124.381,125.906,126.92,128.159,133.368,134.126,134.645,135.409,135.287,138.475,146.026,148.613,149.536,150.466,151.607,152.352,153.617
        Greenland,installed capacity ,0.085,0.087,0.088,0.088,0.088,0.088,0.087,0.087,0.087,0.087,0.087,0.094,0.094,0.105,0.106,0.106,0.106,0.106,0.106,0.136,0.065,0.065,0.065,0.065,0.0677,0.0687,0.0687,0.0757,0.081,0.111,0.111,0.111,0.119,0.134,0.134,0.134,0.187,0.187,0.187189,0.187189,0.187189,0.187189
        Mexico,installed capacity ,16.712,19.592,20.59,21.299,21.752,22.982,23.333,25.104,26.128,27.362,27.532,29.315,29.697,31.252,34.286,35.042,36.824,37.295,37.491,37.939,40.58,42.892,46.167,50.169,52.737,52.975,55.83,58.318,58.643,59.96,61.824,62.472,64.517,64.605,66.869,68.284,73.711,75.827,86.587,90.262,91.357,94.422
        Saint Pierre and Miquelon,installed capacity ,0.01,0.017,0.017,0.017,0.021,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.0262,0.0262,0.0262,0.0262,0.026,0.026,0.026,0.0266,0.0266,0.0266,0.0268,0.0268,0.0268,0.0276,0.0262,0.0252,0.0252,0.0252,0.0262,0.0262,0.0262,0.0262
        United States,installed capacity ,577.614,597.313,612.593,619.675,633.531,653.252,662.879,672.125,675.605,709.758,720.781,725.437,731.681,739.375,748.395,753.614,760.03,762.524,759.615,768.962,811.719,848.254,905.301,948.448,962.942,978.019,986.214,994.8885,1010.1726,1025.4004,1039.0618,1051.251,1063.033,1060.0635,1075.7488,1073.833,1087.0979,1100.5174,1114.2869,1122.3229,1143.2656,1176.7288
